gene,143BN_BB_1,143BN_BB_1.father,143BN_BB_1.mother,change,167BZ_SP_1,167BZ_SP_1.father,167BZ_SP_1.mother,change,179CI_GG_1,179CI_GG_1.father,179CI_GG_1.mother,change,297EW_BP_1,297EW_BP_1.father,297EW_BP_1.mother,change,59R_AM_1,59R_AM_1.father,59R_AM_1.mother,change
TRBV6-5,3,3,2,SAME,3,3,3,SAME,2,3,2,SAME,2,1,2,SAME,2,3,3,DECREASE
TRBV6-7,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
TRBV7-3,1,1,0,SAME,0,0,0,NA,1,1,1,SAME,1,1,1,SAME,1,2,1,SAME
TRBV7-7,2,1,2,SAME,0,0,0,NA,1,2,2,DECREASE,1,2,2,DECREASE,2,0,2,SAME
TRBV7-8,0,0,0,NA,0,0,0,NA,1,0,0,NEw,1,1,0,SAME,0,0,0,NA
TRIM66,0,0,0,NA,0,0,0,NA,1,0,0,NEw,1,0,1,SAME,0,0,0,NA
TTYH2,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
TYRO3,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
USP36,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
VGF,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
WDR66,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
WIPF3,1,0,0,NEw,0,0,0,NA,1,0,0,NEw,0,0,0,NA,1,1,1,SAME
ZAN,0,0,0,NA,2,1,2,SAME,1,1,2,SAME,0,0,0,NA,0,0,0,NA
ZMYM3,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
ZNF141,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
ZNF257,1,1,0,SAME,1,0,0,NEw,1,1,0,SAME,0,0,0,NA,1,1,0,SAME
ZNF302,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
ZNF676,1,1,1,SAME,1,1,0,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
ZNF703,0,0,0,NA,0,0,0,NA,2,2,0,SAME,0,0,0,NA,0,0,0,NA
ZNF737,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ZNF865,1,0,0,NEw,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
ZNF880,1,0,1,SAME,0,0,0,NA,2,1,1,INCREASE,2,2,3,SAME,0,0,0,NA
ZNF91,0,0,0,NA,0,0,0,NA,1,2,0,SAME,1,0,0,NEw,0,0,0,NA
ZNF92,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ZSWIM6,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
