ADAMTS9-AS
AVEN
C15orf57
C1orf194
C8orf44-SGK3
CDC123
CPA6
DDX10
ENOX1
GPBP1
LOC729970
LRCH1
MAN1C1
MAP2K5
MAP3K3
MIR548A2
NUP188
PHYHD1
PIP4K2A
PTN
RAP1A
ROCK2
SGK3
TFRC
TMEM135
VWA3A
ZNF674
